title,description,location,start_date,end_date,is_all_day
Tech Fest 2025,Annual technical festival with workshops and competitions,Auditorium,2025-03-15,2025-03-17,false
Campus Orientation,Welcome session for new students,Main Hall,2025-01-10,2025-01-10,true
Sports Day,Annual inter-department sports competition,Sports Complex,2025-02-20,2025-02-20,true
AI Workshop,Hands-on workshop on Machine Learning,CS-301,2025-03-25,2025-03-25,false
Cultural Night,Music and dance performances by students,Amphitheater,2025-04-05,2025-04-05,false
Research Symposium,Presentation of research papers by faculty and students,Conference Hall,2025-05-10,2025-05-10,true
Industry Connect,Interactions with industry professionals,Auditorium,2025-06-15,2025-06-15,false
Freshers Party,Welcome party for first year students,Student Center,2025-01-20,2025-01-20,false
Alumni Meet,Annual alumni gathering and networking,Guest House,2025-12-15,2025-12-15,true
Workshop on IoT,Internet of Things practical workshop,ECE Lab,2025-04-10,2025-04-10,false
